sessionId,attempt,center,selected,options
"session-1741142160215",1,"lightning","parallelogram",["parallelogram","trapezoid"]
"session-1741142160215",2,"rectangle","octagon",["lightning","octagon"]
"session-1741142160215",3,"lightning","parallelogram",["rhombus","parallelogram"]
"session-1741142160215",4,"lightning","rectangle",["rectangle","trapezoid"]
"session-1741142160215",5,"star","lightning",["lightning","rectangle"]
"session-1741142160215",6,"trapezoid","rhombus",["lightning","rhombus"]
"session-1741142160215",7,"rhombus","octagon",["trapezoid","octagon"]
"session-1741142160215",8,"octagon","rectangle",["rhombus","rectangle"]
"session-1741142160215",9,"diamond","star",["star","trapezoid"]
"session-1741142160215",10,"rhombus","diamond",["lightning","diamond"]
"session-1741142207347",1,"ellipse","circle",["hexagon","circle"]
"session-1741142207347",2,"cross","rectangle",["rectangle","hexagon"]
"session-1741142207347",3,"hexagon","ellipse",["ellipse","star"]
"session-1741142207347",4,"cross","diamond",["pentagon","diamond"]
"session-1741142207347",5,"parallelogram","hexagon",["hexagon","circle"]
"session-1741142207347",6,"star","pentagon",["ellipse","pentagon"]
"session-1741142207347",7,"triangle","star",["circle","star"]
"session-1741142207347",8,"heart","hexagon",["hexagon","rectangle"]
"session-1741142207347",9,"rectangle","circle",["circle","hexagon"]
"session-1741142207347",10,"lightning","heart",["heart","circle"]
"session-1741142243263",1,"cross","diamond",["diamond","rectangle"]
"session-1741142243263",2,"parallelogram","trapezoid",["hexagon","trapezoid"]
"session-1741142243263",3,"rectangle","octagon",["octagon","circle"]
"session-1741142243263",4,"trapezoid","hexagon",["lightning","hexagon"]
"session-1741142243263",5,"cross","diamond",["diamond","lightning"]
"session-1741142243263",6,"rhombus","rectangle",["hexagon","rectangle"]
"session-1741142243263",7,"lightning","rhombus",["rhombus","ellipse"]
"session-1741142243263",8,"ellipse","octagon",["octagon","parallelogram"]
"session-1741142243263",9,"heart","star",["star","trapezoid"]
"session-1741142243263",10,"ellipse","circle",["circle","cross"]
"session-1741143266985",1,"star","hexagon",["circle","hexagon"]
"session-1741143266985",2,"ellipse","hexagon",["hexagon","lightning"]
"session-1741143266985",3,"hexagon","octagon",["trapezoid","octagon"]
"session-1741143266985",4,"star","diamond",["diamond","heart"]
"session-1741143266985",5,"rectangle","star",["circle","star"]
"session-1741143266985",6,"triangle","parallelogram",["parallelogram","trapezoid"]
"session-1741143266985",7,"octagon","lightning",["lightning","star"]
"session-1741143266985",8,"star","cross",["pentagon","cross"]
"session-1741143266985",9,"trapezoid","pentagon",["lightning","pentagon"]
"session-1741143266985",10,"triangle","rectangle",["ellipse","rectangle"]
"session-1741143324584",1,"diamond","rectangle",["rectangle","circle"]
"session-1741143324584",2,"star","diamond",["diamond","parallelogram"]
"session-1741143324584",3,"cross","trapezoid",["circle","trapezoid"]
"session-1741143324584",4,"parallelogram","ellipse",["ellipse","cross"]
"session-1741143324584",5,"star","pentagon",["rhombus","pentagon"]
"session-1741143324584",6,"parallelogram","diamond",["diamond","star"]
"session-1741143324584",7,"rectangle","diamond",["diamond","hexagon"]
"session-1741143324584",8,"rhombus","diamond",["diamond","parallelogram"]
"session-1741143324584",9,"lightning","rectangle",["rectangle","ellipse"]
"session-1741143324584",10,"diamond","hexagon",["cross","hexagon"]
"session-1741143399596",1,"rhombus","parallelogram",["ellipse","parallelogram"]
"session-1741143399596",2,"octagon","lightning",["parallelogram","lightning"]
"session-1741143399596",3,"octagon","diamond",["cross","diamond"]
"session-1741143399596",4,"lightning","hexagon",["star","hexagon"]
"session-1741143399596",5,"pentagon","star",["cross","star"]
"session-1741143399596",6,"heart","circle",["circle","octagon"]
"session-1741143399596",7,"ellipse","parallelogram",["parallelogram","star"]
"session-1741143399596",8,"heart","triangle",["lightning","triangle"]
"session-1741143399596",9,"rhombus","rectangle",["rectangle","pentagon"]
"session-1741143399596",10,"trapezoid","rectangle",["rectangle","cross"]
"session-1741148991075",1,"pentagon","diamond",["heart","diamond"]
"session-1741148991075",2,"diamond","cross",["circle","cross"]
"session-1741148991075",3,"circle","hexagon",["trapezoid","hexagon"]
"session-1741148991075",4,"lightning","trapezoid",["ellipse","trapezoid"]
"session-1741148991075",5,"ellipse","circle",["rectangle","circle"]
"session-1741148991075",6,"hexagon","rectangle",["ellipse","rectangle"]
"session-1741148991075",7,"octagon","hexagon",["hexagon","circle"]
"session-1741148991075",8,"lightning","cross",["cross","rectangle"]
"session-1741148991075",9,"circle","diamond",["rhombus","diamond"]
"session-1741148991075",10,"parallelogram","trapezoid",["pentagon","trapezoid"]
"session-1741149282353",1,"cross","lightning",["circle","lightning"]
"session-1741149282353",2,"heart","ellipse",["ellipse","star"]
"session-1741149282353",3,"parallelogram","pentagon",["heart","pentagon"]
"session-1741149282353",4,"rectangle","rhombus",["rhombus","circle"]
"session-1741149282353",5,"lightning","ellipse",["ellipse","circle"]
"session-1741149282353",6,"triangle","lightning",["lightning","parallelogram"]
"session-1741149282353",7,"circle","octagon",["rectangle","octagon"]
"session-1741149282353",8,"diamond","parallelogram",["parallelogram","star"]
"session-1741149282353",9,"lightning","trapezoid",["circle","trapezoid"]
"session-1741149282353",10,"cross","lightning",["ellipse","lightning"]
"session-1741149319361",1,"hexagon","diamond",["diamond","star"]
"session-1741149319361",2,"trapezoid","triangle",["circle","triangle"]
"session-1741149319361",3,"ellipse","lightning",["triangle","lightning"]
"session-1741149319361",4,"lightning","pentagon",["pentagon","octagon"]
"session-1741149319361",5,"star","cross",["triangle","cross"]
"session-1741149319361",6,"parallelogram","rectangle",["heart","rectangle"]
"session-1741149319361",7,"star","diamond",["triangle","diamond"]
"session-1741149319361",8,"rectangle","pentagon",["hexagon","pentagon"]
"session-1741149319361",9,"star","lightning",["diamond","lightning"]
"session-1741149319361",10,"triangle","parallelogram",["parallelogram","rectangle"]
"session-1741149361299",1,"heart","lightning",["lightning","rectangle"]
"session-1741149361299",2,"octagon","pentagon",["cross","pentagon"]
"session-1741149361299",3,"cross","octagon",["parallelogram","octagon"]
"session-1741149361299",4,"octagon","diamond",["ellipse","diamond"]
"session-1741149361299",5,"lightning","pentagon",["ellipse","pentagon"]
"session-1741149361299",6,"rectangle","triangle",["triangle","cross"]
"session-1741149361299",7,"star","circle",["circle","trapezoid"]
"session-1741149361299",8,"rhombus","octagon",["octagon","cross"]
"session-1741149361299",9,"triangle","trapezoid",["trapezoid","star"]
"session-1741149361299",10,"star","lightning",["rectangle","lightning"]
"session-1741149426980",1,"ellipse","diamond",["star","diamond"]
"session-1741149426980",2,"rhombus","circle",["cross","circle"]
"session-1741149426980",3,"circle","parallelogram",["parallelogram","lightning"]
"session-1741149426980",4,"circle","heart",["triangle","heart"]
"session-1741149426980",5,"octagon","circle",["heart","circle"]
"session-1741149426980",6,"cross","star",["star","heart"]
"session-1741149426980",7,"parallelogram","rectangle",["triangle","rectangle"]
"session-1741149426980",8,"diamond","cross",["cross","hexagon"]
"session-1741149426980",9,"ellipse","octagon",["octagon","heart"]
"session-1741149426980",10,"octagon","cross",["ellipse","cross"]
"session-1741150187859",1,"trapezoid","diamond",["diamond","star"]
"session-1741150187859",2,"triangle","rhombus",["rhombus","ellipse"]
"session-1741150187859",3,"parallelogram","pentagon",["circle","pentagon"]
"session-1741150187859",4,"heart","pentagon",["pentagon","circle"]
"session-1741150187859",5,"rhombus","circle",["ellipse","circle"]
"session-1741150187859",6,"cross","rhombus",["rhombus","pentagon"]
"session-1741150187859",7,"hexagon","diamond",["cross","diamond"]
"session-1741150187859",8,"rhombus","pentagon",["octagon","pentagon"]
"session-1741150187859",9,"ellipse","diamond",["lightning","diamond"]
"session-1741150187859",10,"heart","circle",["circle","triangle"]
"session-1741150234634",1,"lightning","octagon",["octagon","circle"]
"session-1741150234634",2,"star","hexagon",["hexagon","diamond"]
"session-1741150234634",3,"ellipse","heart",["lightning","heart"]
"session-1741150234634",4,"star","octagon",["lightning","octagon"]
"session-1741150234634",5,"lightning","cross",["parallelogram","cross"]
"session-1741150234634",6,"pentagon","heart",["lightning","heart"]
"session-1741150234634",7,"heart","circle",["circle","pentagon"]
"session-1741150234634",8,"trapezoid","pentagon",["pentagon","triangle"]
"session-1741150234634",9,"hexagon","circle",["cross","circle"]
"session-1741150234634",10,"heart","triangle",["parallelogram","triangle"]
"session-1741184869353",1,"triangle","rhombus",["heart","rhombus"]
"session-1741184869353",2,"hexagon","heart",["heart","lightning"]
"session-1741184869353",3,"diamond","parallelogram",["trapezoid","parallelogram"]
"session-1741184869353",4,"heart","pentagon",["rhombus","pentagon"]
"session-1741184869353",5,"triangle","star",["lightning","star"]
"session-1741184869353",6,"triangle","hexagon",["hexagon","ellipse"]
"session-1741184869353",7,"rhombus","pentagon",["pentagon","heart"]
"session-1741184869353",8,"trapezoid","hexagon",["triangle","hexagon"]
"session-1741184869353",9,"rhombus","trapezoid",["trapezoid","ellipse"]
"session-1741184869353",10,"lightning","triangle",["octagon","triangle"]
"session-1741185302311",1,"heart","circle",["parallelogram","circle"]
"session-1741185302311",2,"triangle","rhombus",["diamond","rhombus"]
"session-1741185302311",3,"ellipse","parallelogram",["parallelogram","diamond"]
"session-1741185302311",4,"rhombus","lightning",["ellipse","lightning"]
"session-1741185302311",5,"star","octagon",["rectangle","octagon"]
"session-1741185302311",6,"hexagon","parallelogram",["ellipse","parallelogram"]
"session-1741185302311",7,"trapezoid","triangle",["triangle","lightning"]
"session-1741185302311",8,"rectangle","circle",["ellipse","circle"]
"session-1741185302311",9,"triangle","circle",["circle","trapezoid"]
"session-1741185302311",10,"parallelogram","trapezoid",["ellipse","trapezoid"]
"session-1741185362143",1,"rhombus","rectangle",["cross","rectangle"]
"session-1741185362143",2,"rectangle","hexagon",["ellipse","hexagon"]
"session-1741185362143",3,"hexagon","rhombus",["cross","rhombus"]
"session-1741185362143",4,"trapezoid","parallelogram",["parallelogram","hexagon"]
"session-1741185362143",5,"cross","hexagon",["hexagon","rectangle"]
"session-1741185362143",6,"circle","heart",["heart","hexagon"]
"session-1741185362143",7,"octagon","hexagon",["hexagon","circle"]
"session-1741185362143",8,"cross","lightning",["lightning","pentagon"]
"session-1741185362143",9,"hexagon","rectangle",["heart","rectangle"]
"session-1741185362143",10,"trapezoid","hexagon",["circle","hexagon"]
"session-1741185471690",1,"hexagon","diamond",["diamond","parallelogram"]
"session-1741185471690",2,"rectangle","trapezoid",["hexagon","trapezoid"]
"session-1741185471690",3,"circle","star",["star","trapezoid"]
"session-1741185471690",4,"lightning","star",["star","octagon"]
"session-1741185471690",5,"trapezoid","lightning",["cross","lightning"]
"session-1741185471690",6,"rectangle","heart",["ellipse","heart"]
"session-1741185471690",7,"hexagon","cross",["star","cross"]
"session-1741185471690",8,"star","triangle",["triangle","cross"]
"session-1741185471690",9,"rectangle","trapezoid",["trapezoid","cross"]
"session-1741185471690",10,"parallelogram","pentagon",["pentagon","heart"]
"session-1741185575395",1,"rectangle","rhombus",["trapezoid","rhombus"]
"session-1741185575395",2,"parallelogram","rhombus",["circle","rhombus"]
"session-1741185575395",3,"octagon","trapezoid",["trapezoid","parallelogram"]
"session-1741185575395",4,"hexagon","rhombus",["heart","rhombus"]
"session-1741185575395",5,"pentagon","diamond",["parallelogram","diamond"]
"session-1741185575395",6,"diamond","octagon",["octagon","cross"]
"session-1741185575395",7,"ellipse","parallelogram",["pentagon","parallelogram"]
"session-1741185575395",8,"rhombus","parallelogram",["star","parallelogram"]
"session-1741185575395",9,"pentagon","triangle",["ellipse","triangle"]
"session-1741185575395",10,"rhombus","octagon",["octagon","lightning"]
"session-1741185722509",1,"circle","rectangle",["rectangle","cross"]
"session-1741185722509",2,"rhombus","pentagon",["pentagon","ellipse"]
"session-1741185722509",3,"heart","rhombus",["rhombus","lightning"]
"session-1741185722509",4,"ellipse","trapezoid",["trapezoid","diamond"]
"session-1741185722509",5,"hexagon","rectangle",["rectangle","heart"]
"session-1741185722509",6,"star","lightning",["lightning","cross"]
"session-1741185722509",7,"pentagon","hexagon",["hexagon","star"]
"session-1741185722509",8,"parallelogram","triangle",["triangle","heart"]
"session-1741185722509",9,"lightning","cross",["trapezoid","cross"]
"session-1741185722509",10,"trapezoid","rhombus",["rhombus","star"]
"session-1741185935656",1,"cross","lightning",["star","lightning"]
"session-1741185935656",2,"cross","hexagon",["hexagon","ellipse"]
"session-1741185935656",3,"pentagon","rectangle",["rectangle","octagon"]
"session-1741185935656",4,"heart","rectangle",["trapezoid","rectangle"]
"session-1741185935656",5,"octagon","hexagon",["diamond","hexagon"]
"session-1741185935656",6,"lightning","heart",["octagon","heart"]
"session-1741185935656",7,"circle","rectangle",["rectangle","cross"]
"session-1741185935656",8,"cross","rhombus",["diamond","rhombus"]
"session-1741185935656",9,"heart","trapezoid",["star","trapezoid"]
"session-1741185935656",10,"circle","heart",["heart","lightning"]
"session-1741186593472",1,"diamond","rectangle",["rectangle","lightning"]
"session-1741186593472",2,"pentagon","triangle",["circle","triangle"]
"session-1741186593472",3,"ellipse","parallelogram",["cross","parallelogram"]
"session-1741186593472",4,"star","hexagon",["hexagon","trapezoid"]
"session-1741186593472",5,"star","rhombus",["rectangle","rhombus"]
"session-1741186593472",6,"parallelogram","star",["lightning","star"]
"session-1741187087423",1,"ellipse","trapezoid",["rectangle","trapezoid"]
"session-1741187087423",2,"trapezoid","ellipse",["heart","ellipse"]
"session-1741187087423",3,"ellipse","octagon",["octagon","cross"]
"session-1741187087423",4,"ellipse","trapezoid",["trapezoid","lightning"]
"session-1741187087423",5,"heart","hexagon",["hexagon","diamond"]
"session-1741187088997",1,"triangle","rectangle",["rectangle","cross"]
"session-1741187087423",6,"parallelogram","octagon",["pentagon","octagon"]
"session-1741187088997",2,"star","circle",["circle","pentagon"]
"session-1741187088997",3,"trapezoid","pentagon",["rhombus","pentagon"]
"session-1741187087423",7,"lightning","rhombus",["rhombus","star"]
"session-1741187088997",4,"parallelogram","octagon",["cross","octagon"]
"session-1741187087423",8,"trapezoid","parallelogram",["triangle","parallelogram"]
"session-1741187088997",5,"cross","rhombus",["pentagon","rhombus"]
"session-1741187087423",9,"parallelogram","circle",["star","circle"]
"session-1741187087423",10,"star","lightning",["pentagon","lightning"]
"session-1741187088997",6,"star","hexagon",["ellipse","hexagon"]
"session-1741187088997",7,"ellipse","circle",["circle","heart"]
"session-1741187088997",8,"cross","pentagon",["pentagon","triangle"]
"session-1741187088997",9,"diamond","octagon",["circle","octagon"]
"session-1741187088997",10,"cross","star",["star","rectangle"]
"session-1741187302440",1,"rhombus","rectangle",["rectangle","pentagon"]
"session-1741187302440",2,"pentagon","hexagon",["trapezoid","hexagon"]
"session-1741187302440",3,"hexagon","triangle",["triangle","cross"]
"session-1741187302440",4,"triangle","hexagon",["rhombus","hexagon"]
"session-1741187324886",1,"parallelogram","lightning",["ellipse","lightning"]
"session-1741187302440",5,"pentagon","ellipse",["ellipse","cross"]
"session-1741187330669",1,"rectangle","pentagon",["pentagon","octagon"]
"session-1741187302440",6,"star","heart",["trapezoid","heart"]
"session-1741187302440",7,"octagon","heart",["heart","triangle"]
"session-1741187324886",2,"octagon","star",["cross","star"]
"session-1741187302440",8,"circle","heart",["lightning","heart"]
"session-1741187324886",3,"star","pentagon",["lightning","pentagon"]
"session-1741187330669",2,"octagon","lightning",["lightning","rhombus"]
"session-1741187324886",4,"rhombus","octagon",["triangle","octagon"]
"session-1741187302440",9,"star","circle",["rectangle","circle"]
"session-1741187324886",5,"parallelogram","trapezoid",["octagon","trapezoid"]
"session-1741187324886",6,"heart","circle",["circle","rhombus"]
"session-1741187330669",3,"star","cross",["heart","cross"]
