sessionId,attempt,center,selected,options
"session-1741187302440",10,"star","pentagon",["pentagon","cross"]
"session-1741187324886",7,"heart","triangle",["cross","triangle"]
"session-1741187324886",8,"rhombus","trapezoid",["triangle","trapezoid"]
"session-1741187324886",9,"diamond","parallelogram",["parallelogram","triangle"]
"session-1741187324886",10,"parallelogram","rectangle",["rectangle","pentagon"]
"session-1741187680340",1,"diamond","rhombus",["rhombus","circle"]
"session-1741187680340",2,"octagon","hexagon",["hexagon","cross"]
"session-1741187680340",3,"ellipse","heart",["diamond","heart"]
"session-1741187680340",4,"circle","pentagon",["pentagon","hexagon"]
"session-1741187680340",5,"lightning","diamond",["diamond","circle"]
"session-1741187680340",6,"lightning","diamond",["rhombus","diamond"]
"session-1741187680340",7,"hexagon","parallelogram",["triangle","parallelogram"]
"session-1741187680340",8,"diamond","triangle",["triangle","heart"]
"session-1741187680340",9,"triangle","trapezoid",["trapezoid","octagon"]
"session-1741187680340",10,"hexagon","rhombus",["rhombus","rectangle"]
"session-1741187823582",1,"star","hexagon",["hexagon","rectangle"]
"session-1741187823582",2,"trapezoid","ellipse",["rhombus","ellipse"]
"session-1741187823582",3,"cross","rhombus",["rhombus","lightning"]
"session-1741187823582",4,"rhombus","pentagon",["lightning","pentagon"]
"session-1741187823582",5,"rhombus","circle",["circle","ellipse"]
"session-1741187823582",6,"cross","parallelogram",["parallelogram","trapezoid"]
"session-1741187823582",7,"ellipse","rectangle",["rectangle","star"]
"session-1741187823582",8,"star","rectangle",["rectangle","parallelogram"]
"session-1741187823582",9,"rhombus","octagon",["octagon","rectangle"]
"session-1741187823582",10,"rectangle","circle",["heart","circle"]
"session-1741189617243",1,"trapezoid","diamond",["diamond","hexagon"]
"session-1741189617243",2,"heart","ellipse",["trapezoid","ellipse"]
"session-1741189617243",3,"heart","rhombus",["rhombus","hexagon"]
"session-1741189617243",4,"circle","rectangle",["heart","rectangle"]
"session-1741189617243",5,"rectangle","triangle",["triangle","heart"]
"session-1741189617243",6,"trapezoid","cross",["cross","star"]
"session-1741189617243",7,"pentagon","rectangle",["rectangle","lightning"]
"session-1741189617243",8,"diamond","triangle",["lightning","triangle"]
"session-1741189617243",9,"star","pentagon",["pentagon","ellipse"]
"session-1741189617243",10,"pentagon","star",["heart","star"]
"session-1741190137362",1,"diamond","parallelogram",["star","parallelogram"]
"session-1741190137362",2,"pentagon","star",["star","heart"]
"session-1741190137362",3,"rectangle","trapezoid",["circle","trapezoid"]
"session-1741190137362",4,"diamond","triangle",["cross","triangle"]
"session-1741190137362",5,"trapezoid","parallelogram",["parallelogram","hexagon"]
"session-1741190137362",6,"circle","cross",["parallelogram","cross"]
"session-1741190137362",7,"rhombus","octagon",["cross","octagon"]
"session-1741190137362",8,"pentagon","rhombus",["heart","rhombus"]
"session-1741190137362",9,"rhombus","lightning",["heart","lightning"]
"session-1741190137362",10,"trapezoid","lightning",["heart","lightning"]
"session-1741190270257",1,"trapezoid","rhombus",["rhombus","cross"]
"session-1741190270257",2,"lightning","parallelogram",["parallelogram","rectangle"]
"session-1741190270257",3,"rhombus","rectangle",["rectangle","circle"]
"session-1741190270257",4,"star","rhombus",["rhombus","circle"]
"session-1741190270257",5,"triangle","pentagon",["trapezoid","pentagon"]
"session-1741190270257",6,"lightning","star",["pentagon","star"]
"session-1741190270257",7,"lightning","parallelogram",["parallelogram","octagon"]
"session-1741190270257",8,"pentagon","parallelogram",["trapezoid","parallelogram"]
"session-1741190270257",9,"diamond","cross",["cross","lightning"]
"session-1741190270257",10,"circle","ellipse",["ellipse","rhombus"]
"session-1741190484054",1,"diamond","pentagon",["octagon","pentagon"]
"session-1741190484054",2,"trapezoid","triangle",["triangle","pentagon"]
"session-1741190484054",3,"ellipse","circle",["heart","circle"]
"session-1741190484054",4,"hexagon","heart",["heart","cross"]
"session-1741190484054",5,"pentagon","octagon",["circle","octagon"]
"session-1741190484054",6,"rectangle","parallelogram",["ellipse","parallelogram"]
"session-1741190484054",7,"cross","octagon",["ellipse","octagon"]
"session-1741190484054",8,"pentagon","rhombus",["rhombus","diamond"]
"session-1741190484054",9,"octagon","trapezoid",["cross","trapezoid"]
"session-1741190484054",10,"heart","circle",["pentagon","circle"]
"session-1741190713216",1,"rectangle","circle",["star","circle"]
"session-1741190713216",2,"hexagon","heart",["heart","rhombus"]
"session-1741190713216",3,"rectangle","parallelogram",["parallelogram","hexagon"]
"session-1741190713216",4,"rhombus","heart",["heart","ellipse"]
"session-1741190713216",5,"trapezoid","diamond",["diamond","pentagon"]
"session-1741190713216",6,"parallelogram","rhombus",["diamond","rhombus"]
"session-1741190713216",7,"trapezoid","ellipse",["ellipse","pentagon"]
"session-1741190713216",8,"octagon","hexagon",["lightning","hexagon"]
"session-1741190713216",9,"parallelogram","trapezoid",["heart","trapezoid"]
"session-1741190713216",10,"pentagon","parallelogram",["triangle","parallelogram"]
"session-1741192210428",1,"heart","parallelogram",["parallelogram","star"]
"session-1741192210428",2,"diamond","hexagon",["hexagon","lightning"]
"session-1741192210428",3,"star","diamond",["diamond","triangle"]
"session-1741192210428",4,"star","triangle",["triangle","heart"]
"session-1741192210428",5,"rectangle","lightning",["heart","lightning"]
"session-1741192210428",6,"rectangle","parallelogram",["triangle","parallelogram"]
"session-1741192210428",7,"rhombus","trapezoid",["trapezoid","circle"]
"session-1741192210428",8,"heart","hexagon",["circle","hexagon"]
"session-1741192210428",9,"star","parallelogram",["parallelogram","octagon"]
"session-1741192210428",10,"octagon","rectangle",["ellipse","rectangle"]
"session-1741192494061",1,"lightning","pentagon",["pentagon","ellipse"]
"session-1741192494061",2,"star","pentagon",["lightning","pentagon"]
"session-1741192494061",3,"star","triangle",["octagon","triangle"]
"session-1741192494061",4,"trapezoid","parallelogram",["circle","parallelogram"]
"session-1741192494061",5,"trapezoid","cross",["cross","circle"]
"session-1741192494061",6,"ellipse","parallelogram",["rectangle","parallelogram"]
"session-1741192494061",7,"ellipse","heart",["trapezoid","heart"]
"session-1741192494061",8,"lightning","parallelogram",["parallelogram","rectangle"]
"session-1741192494061",9,"parallelogram","octagon",["octagon","heart"]
"session-1741192494061",10,"star","rhombus",["trapezoid","rhombus"]
"session-1741192640533",1,"lightning","hexagon",["ellipse","hexagon"]
"session-1741192640533",2,"diamond","star",["circle","star"]
"session-1741192640533",3,"circle","pentagon",["rectangle","pentagon"]
"session-1741192640533",4,"rectangle","pentagon",["star","pentagon"]
"session-1741192640533",5,"heart","cross",["cross","lightning"]
"session-1741192640533",6,"heart","ellipse",["ellipse","triangle"]
"session-1741192640533",7,"lightning","diamond",["diamond","heart"]
"session-1741192640533",8,"rhombus","pentagon",["circle","pentagon"]
"session-1741192640533",9,"circle","pentagon",["pentagon","cross"]
"session-1741192640533",10,"ellipse","pentagon",["rectangle","pentagon"]
"session-1741193890820",1,"lightning","star",["star","ellipse"]
"session-1741193890820",2,"octagon","trapezoid",["triangle","trapezoid"]
"session-1741193890820",3,"octagon","diamond",["ellipse","diamond"]
"session-1741193890820",4,"star","diamond",["parallelogram","diamond"]
"session-1741193890820",5,"pentagon","rectangle",["rectangle","circle"]
"session-1741193890820",6,"heart","rhombus",["rhombus","diamond"]
"session-1741193890820",7,"pentagon","heart",["star","heart"]
"session-1741194244514",1,"diamond","triangle",["triangle","octagon"]
"session-1741194244514",2,"triangle","cross",["cross","circle"]
"session-1741194244514",3,"diamond","rhombus",["parallelogram","rhombus"]
"session-1741194244514",4,"lightning","rhombus",["rhombus","trapezoid"]
"session-1741194244514",5,"rectangle","octagon",["octagon","cross"]
"session-1741194244514",6,"ellipse","heart",["rectangle","heart"]
"session-1741194244514",7,"circle","cross",["cross","lightning"]
"session-1741194244514",8,"circle","heart",["trapezoid","heart"]
"session-1741194244514",9,"circle","ellipse",["ellipse","pentagon"]
"session-1741194244514",10,"ellipse","parallelogram",["diamond","parallelogram"]
"session-1741194404093",1,"cross","diamond",["diamond","parallelogram"]
"session-1741194404093",2,"diamond","rectangle",["rectangle","parallelogram"]
"session-1741194404093",3,"diamond","triangle",["cross","triangle"]
"session-1741194404093",4,"heart","ellipse",["rectangle","ellipse"]
"session-1741194404093",5,"rhombus","parallelogram",["parallelogram","circle"]
"session-1741194404093",6,"cross","lightning",["lightning","rhombus"]
"session-1741194404093",7,"triangle","parallelogram",["parallelogram","cross"]
"session-1741194404093",8,"hexagon","rhombus",["rhombus","triangle"]
"session-1741194404093",9,"rhombus","trapezoid",["trapezoid","octagon"]
"session-1741194404093",10,"heart","lightning",["rhombus","lightning"]
"session-1741195853978",1,"rhombus","hexagon",["lightning","hexagon"]
"session-1741195853978",2,"rectangle","octagon",["triangle","octagon"]
"session-1741195853978",3,"diamond","triangle",["trapezoid","triangle"]
"session-1741195853978",4,"lightning","parallelogram",["octagon","parallelogram"]
"session-1741195853978",5,"triangle","cross",["cross","ellipse"]
"session-1741195853978",6,"octagon","star",["star","cross"]
"session-1741195853978",7,"hexagon","star",["rectangle","star"]
"session-1741195853978",8,"octagon","circle",["rectangle","circle"]
"session-1741195853978",9,"star","lightning",["lightning","cross"]
"session-1741195853978",10,"rectangle","lightning",["heart","lightning"]
"session-1741196732914",1,"ellipse","diamond",["diamond","pentagon"]
"session-1741196732914",2,"rectangle","parallelogram",["parallelogram","ellipse"]
"session-1741196732914",3,"rectangle","parallelogram",["ellipse","parallelogram"]
"session-1741196732914",4,"parallelogram","rectangle",["rectangle","cross"]
"session-1741196732914",5,"octagon","circle",["triangle","circle"]
"session-1741196732914",6,"trapezoid","pentagon",["cross","pentagon"]
"session-1741196732914",7,"ellipse","rhombus",["rhombus","cross"]
"session-1741196732914",8,"rhombus","diamond",["diamond","cross"]
"session-1741196732914",9,"trapezoid","heart",["star","heart"]
"session-1741196732914",10,"trapezoid","hexagon",["lightning","hexagon"]
"session-1741196818097",1,"octagon","trapezoid",["trapezoid","triangle"]
"session-1741196818097",2,"lightning","diamond",["diamond","rectangle"]
"session-1741196818097",3,"ellipse","octagon",["cross","octagon"]
"session-1741196818097",4,"star","heart",["ellipse","heart"]
"session-1741196818097",5,"parallelogram","hexagon",["hexagon","circle"]
"session-1741196818097",6,"ellipse","pentagon",["pentagon","rectangle"]
"session-1741196818097",7,"parallelogram","octagon",["octagon","heart"]
"session-1741196818097",8,"circle","rectangle",["rectangle","triangle"]
"session-1741196818097",9,"star","pentagon",["ellipse","pentagon"]
"session-1741196818097",10,"parallelogram","hexagon",["cross","hexagon"]
"session-1741200390781",1,"ellipse","trapezoid",["trapezoid","lightning"]
"session-1741200390781",2,"rectangle","octagon",["octagon","hexagon"]
"session-1741200390781",3,"hexagon","trapezoid",["ellipse","trapezoid"]
"session-1741200390781",4,"heart","diamond",["diamond","triangle"]
"session-1741200390781",5,"lightning","diamond",["cross","diamond"]
"session-1741200390781",6,"hexagon","circle",["trapezoid","circle"]
"session-1741200390781",7,"parallelogram","trapezoid",["lightning","trapezoid"]
"session-1741200390781",8,"pentagon","rhombus",["diamond","rhombus"]
"session-1741200390781",9,"hexagon","rhombus",["octagon","rhombus"]
"session-1741200390781",10,"star","rhombus",["rhombus","parallelogram"]
"session-1741202575272",1,"parallelogram","lightning",["circle","lightning"]
"session-1741202575272",2,"lightning","octagon",["parallelogram","octagon"]
"session-1741205008925",1,"parallelogram","hexagon",["cross","hexagon"]
"session-1741205008925",2,"trapezoid","diamond",["triangle","diamond"]
"session-1741205008925",3,"pentagon","diamond",["diamond","heart"]
"session-1741205008925",4,"ellipse","circle",["circle","star"]
"session-1741205008925",5,"pentagon","hexagon",["hexagon","lightning"]
"session-1741205008925",6,"cross","pentagon",["pentagon","heart"]
"session-1741205008925",7,"cross","rectangle",["rectangle","hexagon"]
"session-1741205008925",8,"hexagon","heart",["octagon","heart"]
"session-1741205008925",9,"star","cross",["cross","parallelogram"]
"session-1741205008925",10,"triangle","star",["star","heart"]
"session-1741207886028",1,"octagon","pentagon",["trapezoid","pentagon"]
"session-1741207886028",2,"parallelogram","lightning",["heart","lightning"]
"session-1741207886028",3,"lightning","trapezoid",["heart","trapezoid"]
"session-1741207886028",4,"diamond","rhombus",["rhombus","circle"]
"session-1741207886028",5,"triangle","star",["star","heart"]
"session-1741207886028",6,"rhombus","triangle",["triangle","lightning"]
"session-1741207886028",7,"ellipse","heart",["heart","hexagon"]
"session-1741207886028",8,"octagon","rhombus",["rhombus","triangle"]
"session-1741207886028",9,"triangle","heart",["heart","ellipse"]
"session-1741207886028",10,"rectangle","parallelogram",["heart","parallelogram"]
"session-1741218741088",1,"pentagon","cross",["lightning","cross"]
"session-1741218741088",2,"lightning","circle",["circle","ellipse"]
"session-1741218741088",3,"cross","octagon",["rhombus","octagon"]
"session-1741218741088",4,"pentagon","trapezoid",["rhombus","trapezoid"]
"session-1741218741088",5,"hexagon","pentagon",["parallelogram","pentagon"]
"session-1741218741088",6,"heart","pentagon",["pentagon","lightning"]
"session-1741218741088",7,"triangle","circle",["lightning","circle"]
"session-1741218741088",8,"lightning","heart",["rhombus","heart"]
"session-1741218741088",9,"trapezoid","rectangle",["star","rectangle"]
"session-1741218741088",10,"lightning","rhombus",["rhombus","octagon"]
"session-1741218817029",1,"diamond","rectangle",["trapezoid","rectangle"]
"session-1741218817029",2,"circle","octagon",["parallelogram","octagon"]
"session-1741218817029",3,"parallelogram","cross",["star","cross"]
"session-1741218817029",4,"circle","ellipse",["star","ellipse"]
"session-1741218817029",5,"hexagon","heart",["heart","diamond"]
"session-1741218817029",6,"rhombus","heart",["ellipse","heart"]
"session-1741218817029",7,"pentagon","rectangle",["cross","rectangle"]
"session-1741218817029",8,"lightning","hexagon",["hexagon","octagon"]
"session-1741218817029",9,"pentagon","star",["star","circle"]
"session-1741218817029",10,"diamond","lightning",["star","lightning"]
"session-1741225215279",1,"lightning","rhombus",["hexagon","rhombus"]
"session-1741225215279",2,"pentagon","triangle",["cross","triangle"]
"session-1741225215279",3,"circle","rectangle",["rectangle","lightning"]
"session-1741225215279",4,"rectangle","octagon",["ellipse","octagon"]
"session-1741225215279",5,"trapezoid","parallelogram",["cross","parallelogram"]
"session-1741225215279",6,"diamond","rhombus",["rhombus","cross"]
"session-1741225215279",7,"heart","triangle",["triangle","diamond"]
"session-1741225215279",8,"lightning","parallelogram",["parallelogram","octagon"]
"session-1741225215279",9,"hexagon","trapezoid",["trapezoid","diamond"]
"session-1741225215279",10,"diamond","heart",["ellipse","heart"]
"session-1741234826092",1,"heart","octagon",["octagon","rectangle"]
"session-1741234826092",2,"cross","rectangle",["lightning","rectangle"]
"session-1741234826092",3,"rhombus","rectangle",["ellipse","rectangle"]
"session-1741234826092",4,"star","pentagon",["triangle","pentagon"]
"session-1741234826092",5,"cross","rhombus",["rhombus","lightning"]
"session-1741234826092",6,"hexagon","pentagon",["star","pentagon"]
"session-1741234826092",7,"ellipse","trapezoid",["trapezoid","lightning"]
"session-1741234826092",8,"triangle","trapezoid",["trapezoid","lightning"]
"session-1741234826092",9,"rectangle","octagon",["hexagon","octagon"]
"session-1741234826092",10,"lightning","octagon",["octagon","pentagon"]
"session-1741238661782",1,"octagon","hexagon",["parallelogram","hexagon"]
"session-1741238661782",2,"trapezoid","ellipse",["pentagon","ellipse"]
"session-1741238661782",3,"circle","parallelogram",["parallelogram","heart"]
"session-1741238661782",4,"rectangle","circle",["hexagon","circle"]
"session-1741238661782",5,"parallelogram","ellipse",["octagon","ellipse"]
"session-1741238661782",6,"diamond","rectangle",["rectangle","star"]
"session-1741238661782",7,"circle","parallelogram",["trapezoid","parallelogram"]
"session-1741238661782",8,"cross","star",["star","rhombus"]
"session-1741238661782",9,"circle","diamond",["star","diamond"]
"session-1741238661782",10,"octagon","rectangle",["rectangle","cross"]